iter	Passed	Remaining
399	31574	47361
400	31648	47274
401	31714	47177
402	31793	47098
403	31869	47014
404	31947	46935
405	32017	46843
406	32109	46783
407	32181	46694
408	32260	46615
409	32340	46538
410	32415	46454
411	32497	46379
412	32581	46308
413	32672	46246
414	32742	46154
415	32830	46089
416	32909	46010
417	32982	45922
418	33072	45859
419	33145	45771
420	33234	45707
421	33312	45627
422	33377	45528
423	33445	45435
424	33531	45366
425	33605	45280
426	33675	45190
427	33767	45127
428	33839	45040
429	33906	44946
430	33982	44862
431	34063	44787
432	34148	44717
433	34214	44620
434	34276	44520
435	34349	44434
436	34421	44345
437	34498	44265
438	34570	44178
439	34647	44097
440	34725	44016
441	34798	43931
442	34878	43854
443	34963	43783
444	35027	43685
445	35091	43589
446	35168	43508
447	35239	43420
448	35322	43346
449	35408	43276
450	35480	43190
451	35557	43109
452	35631	43024
453	35695	42928
454	35770	42845
455	35837	42753
456	35907	42664
457	35985	42586
458	36050	42490
459	36128	42411
460	36203	42329
461	36273	42240
462	36350	42160
463	36422	42074
464	36495	41989
465	36559	41894
466	36642	41820
467	36730	41753
468	36810	41676
469	36884	41593
470	36956	41507
471	37028	41421
472	37080	41314
473	37169	41246
474	37253	41174
475	37329	41093
476	37406	41013
477	37472	40922
478	37542	40834
479	37618	40752
480	37700	40678
481	37772	40593
482	37858	40523
483	37924	40432
484	38007	40358
485	38082	40276
486	38156	40194
487	38228	40108
488	38311	40035
489	38375	39942
490	38464	39875
491	38553	39807
492	38633	39730
493	38715	39656
494	38794	39577
495	38894	39522
496	38969	39439
497	39048	39362
498	39124	39281
499	39203	39203
500	39284	39127
501	39360	39046
502	39432	38961
503	39498	38871
504	39564	38781
505	39636	38696
506	39710	38614
507	39793	38539
508	39860	38451
509	39949	38383
510	40028	38305
511	40103	38223
512	40180	38144
513	40266	38072
514	40329	37980
515	40410	37904
516	40487	37825
517	40575	37755
518	40672	37694
519	40761	37626
520	40842	37549
521	40924	37475
522	41004	37398
523	41077	37314
524	41164	37243
525	41248	37171
526	41321	37087
527	41397	37007
528	41486	36938
529	41566	36860
530	41644	36781
531	41722	36703
532	41792	36617
533	41871	36539
534	41973	36481
535	42042	36394
536	42115	36312
537	42203	36241
538	42275	36158
539	42341	36068
540	42410	35982
541	42488	35903
542	42570	35828
543	42640	35742
544	42706	35654
545	42778	35570
546	42850	35486
547	42925	35405
548	42995	35320
549	43075	35243
550	43145	35158
551	43210	35069
552	43291	34993
553	43362	34909
554	43425	34818
555	43488	34727
556	43556	34641
557	43623	34554
558	43701	34476
559	43790	34407
560	43878	34336
561	43954	34256
562	44044	34187
563	44117	34104
564	44168	34005
565	44245	33926
566	44316	33843
567	44395	33765
568	44474	33688
569	44547	33606
570	44630	33531
571	44713	33456
572	44797	33382
573	44890	33316
